"Nama Pembeli,Kelamin,Menikah,Tanggungan,Pendidikan (int),Pendidikan,Pekerjaan (int),Pekerjaan,PU (int),Pendapatan Utama,PT (int),Pemasukan Tambahan,Jenis Properti,NUP (int),NUP,BF (int),Booking Fee,Biaya Rumah/Tanah,Uang Muka,Periode Cicilan,Riwayat Pinjaman,Persetujuan Pembelian"
"Pembeli 001,L,Tidak,0,4,Sarjana,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,Rumah,1,Ya,1,Ya,227000000,62000000,18,1,ya"
"Pembeli 002,L,Ya,3+,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,125000000,26000000,18,0,ya"
"Pembeli 003,L,Ya,3,2,SMP,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,242000000,92000000,18,2+,tidak"
"Pembeli 004,L,Ya,3,4,Sarjana,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,192000000,62000000,18,0,ya"
"Pembeli 005,L,Tidak,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,250000000,74000000,18,0,ya"
"Pembeli 006,L,Ya,2,1,SD,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,Rumah,0,Tidak,1,Ya,216000000,70000000,18,1,ya"
"Pembeli 007,L,Ya,3,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,1,Ya,1,Ya,198000000,61000000,18,2+,tidak"
"Pembeli 008,L,Ya,3,4,Sarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,139000000,36000000,18,2,ya"
"Pembeli 009,L,Ya,2,1,SD,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,233000000,85000000,18,0,ya"
"Pembeli 010,L,Ya,2,4,Sarjana,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,115000000,30000000,18,2,ya"
"Pembeli 011,L,Ya,1,3,SMA,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,223000000,79000000,18,0,ya"
"Pembeli 012,L,Ya,3,3,SMA,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,211000000,82000000,18,1,ya"
"Pembeli 013,L,Ya,3+,2,SMP,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,223000000,62000000,18,2,ya"
