NamaPembeli,Kelamin,Menikah,Tanggungan,Pendidikan,Pekerjaan,PendapatanUtama,PemasukanTambahan,JenisProperti,NUP,BookingFee,BiayaRumahTanah,UangMuka,PeriodeCicilan,RiwayatPinjaman,PersetujuanPembelian
Pembeli 001,L,Tidak,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,< 1jt,Rumah,Ya,Ya,227000000,"Rp62.000.000,00",18,1,ya
Pembeli 002,L,Ya,3+,SD,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,125000000,"Rp26.000.000,00",18,0,ya
Pembeli 003,L,Ya,3,SMP,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,242000000,"Rp92.000.000,00",18,2+,tidak
Pembeli 004,L,Ya,3,Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,192000000,"Rp62.000.000,00",18,0,ya
Pembeli 005,L,Tidak,0,Sarjana,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,250000000,"Rp74.000.000,00",18,0,ya
Pembeli 006,L,Ya,2,SD,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Rumah,Tidak,Ya,216000000,"Rp70.000.000,00",18,1,ya
Pembeli 007,L,Ya,3,SMP,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Ya,Ya,198000000,"Rp61.000.000,00",18,2+,tidak
Pembeli 008,L,Ya,3,Sarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,139000000,"Rp36.000.000,00",18,2,ya
Pembeli 009,L,Ya,2,SD,Wiraswasta,> 30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,233000000,"Rp85.000.000,00",18,0,ya
Pembeli 010,L,Ya,2,Sarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,115000000,"Rp30.000.000,00",18,2,ya
Pembeli 011,L,Ya,1,SMA,Wiraswasta,> 30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,223000000,"Rp79.000.000,00",18,0,ya
Pembeli 012,L,Ya,3,SMA,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,211000000,"Rp82.000.000,00",18,1,ya
Pembeli 013,L,Ya,3+,SMP,Wiraswasta,> 30jt,1jt s.d. <5jt,Rumah,Ya,Ya,223000000,"Rp62.000.000,00",18,2,ya
Pembeli 014,L,Tidak,0,SD,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,118000000,"Rp21.000.000,00",18,2+,ya
Pembeli 015,L,Ya,1,PascaSarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,241000000,"Rp88.000.000,00",12,2,ya
Pembeli 016,L,Tidak,0,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,237000000,"Rp68.000.000,00",18,2+,tidak
Pembeli 017,L,Tidak,0,SD,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Rumah,Tidak,Ya,242000000,"Rp81.000.000,00",12,2+,ya
Pembeli 018,P,Tidak,0,Sarjana,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,220000000,"Rp61.000.000,00",18,2+,tidak
Pembeli 019,L,Ya,2,PascaSarjana,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,149000000,"Rp42.000.000,00",18,2,ya
Pembeli 020,L,Ya,1,Sarjana,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Rumah,Tidak,Ya,227000000,"Rp72.000.000,00",18,2,ya
Pembeli 021,L,Ya,1,Sarjana,Wiraswasta,> 30jt,1jt s.d. <5jt,Rumah,Ya,Ya,194000000,"Rp94.000.000,00",18,2+,ya
Pembeli 022,L,Ya,3,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,237000000,"Rp84.000.000,00",18,0,tidak
Pembeli 023,L,Ya,3,PascaSarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,110000000,"Rp26.000.000,00",18,1,ya
Pembeli 024,P,Ya,3,PascaSarjana,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Tanah,Ya,Ya,143000000,"Rp37.000.000,00",18,2,ya
Pembeli 025,L,Ya,3,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,122000000,"Rp20.000.000,00",18,1,tidak
Pembeli 026,L,Ya,1,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,105000000,"Rp29.000.000,00",18,0,ya
